test_strain,test_thc_avg
Liberty Haze 00016,37.80834
Liberty Haze 00027,37.300564
Liberty Haze 00022,36.47355
Liberty Haze 00025,35.97454
BD_7_16-11-02,35.4394
Kosher Tangie #8,34.7292
Liberty Haze 00020,34.18342
WIFI_8_16-09-02,33.5982
Liberty Haze 00026,33.49863833
Grape OG #2,32.995
OREG_T6_16.04.27,32.62886667
Tangie Land,32.5347
Bubba Kush 00010,32.48536667
Fruity Pebbles OG,32.4271
Kosher Kush 00005,32.263335
CANTELOPE,31.7811
Liberty Haze 00021,31.76712857
Liberty Haze 00013,31.7639
GGLU_T03_16.12.26,31.74985
WIFI25 x ACHEM,31.7303
BBC_8_17-03-10,31.7057
Amnesia Haze 00012,31.5783
CACT_T13_16.02.03,31.54206667
CACT_T14_16.04.03,31.52833333
Candy Diesel,31.3581
WD_8_16-11-23,31.3426
Liberty Haze 00018,31.34194
TK*Haze x MP #5,31.3164
Liberty Haze 00015,31.26013333
Pineapple Chunk 00011,31.18624
Liberty Haze 00012,31.12146
GSC Thin Mints #5,31.0683
Blueberry x Train wreck,31.0571
GGLU_T8_16.04.28,31.00945
BFIR_T25_16.04.06,30.98003333
Limoncello #18,30.9624
Original Sour Diesel 00003,30.92886667
CACT_T25_16.02.05,30.91283333
Bubble Gum Haze,30.8811
Sour OG Krypt,30.7795
NK_2_16-12-26,30.7426
OREG_T29_16.08.02,30.740325
OG X Chem dawg,30.7303
PanPrincess0758,30.7287
Cactus_T08_16.08.24,30.6934
Classick x IIIOG 1,30.6779
Lost Coast OG 00014,30.467825
Tall Toby,30.4517
OG Chem 3,30.39134
White Strawberry,30.32175
Budd Inlet Blast,30.3
Herijuana Jack 33 00009,30.26634
NORTHERN LIGHT,30.2648
GGLU_T7_16.04.29,30.2517
White Grape Stomper #5,30.2419
GGLU_T24_16.06.16,30.2378
CPIE_T24_16.04.17,30.2041
WIFI_6_16-12-26,30.1918
Chem Sensi,30.1403
LCON_T5_16.04.27,30.1116
24 K,30.0656
Afghooey (Afgoo),30.04395
WIFI_4_16-11-21,30.0164
Shurman #9,30.0132
CACT_T11_16.05.20,29.97896667
BP_3_16-11-08,29.9025
Pineapple Chunk 00009,29.848575
Herijuana Jack 33 00010,29.842556
GGLU_T15_16.02.17,29.81935
OREG_T5_16.04.27,29.8164
BBC_1_16-10-10,29.8041
MBG's Pink Champagne,29.7902
Key Lime Crack,29.7533
Gorilla Glue 2,29.7517
DGxWW,29.72175
Yoda x True OG,29.71935
SWS x Willys IX #8,29.70625
GGLU_T9_16.04.28,29.7001
BBC_8_16-09-02,29.6902
MK Ultra 00014,29.666975
MK Ultra 00015,29.66132
Amnesia Haze 00011,29.65525
LD #5,29.56367
Acopulco Gold,29.5533
XJ13_T05_16.08.28,29.51943333
PSC_8_16-09-02,29.5148
WIFI_1_16-10-10,29.5148
Carribain Crush 8,29.5025
Gas Leak,29.5025
LEMON ALIEN#4,29.4886
CACT_T12_16.05.20,29.4861
Skywalker O.G.,29.48565
Lemon Urkle,29.48325
Cherry Blossom Kush,29.4672
BBC_4_16-11-21,29.4656
O.S.D. 00006,29.3864
LCON_T17_16.08.04,29.36863333
CACT_T08_16.08.30,29.34743333
MK Ultra 00017,29.33958333
Kosher Kush 00004,29.33345
Brandywine #3,29.3116
BP_8_16-11-23,29.2886
Cookies and Cream #18,29.15141867
First 48 #3,29.1025
WD_7_16-11-02,29.0902
4 Face Melt OG,29.0902
Hot Rod #10,29.0902
CACT_T03_16.08.30,29.08023333
GC_7_16-11-02,29.0763
Kosher Kush 00001,29.06694
Chemical Weapons 1,29.0239
Liberty Haze 00014,28.97825
GC_2_16-12-26,28.964
Pineapple Chunk 2 00013,28.94484
Gogi og,28.914
7 Way,28.9025
Bell-Ringer #4,28.8952
8 Mile,28.8886
Amnesia Haze 00007,28.83
Pine Tar,28.81817
Karls Kush,28.81
Original Sour Diesel 00002,28.805375
LCON_T18_16.06.03,28.7911
96 OG,28.7886
LCON_T16_16.06.03,28.73502
OG Ghost Train Haze #1,28.7239
God's Dick Treat,28.71
LCON_T18_16.08.04,28.70856667
OREG_T2_16.07.11,28.70713333
Liberty Haze 00028,28.699998
SGRA_T20_16.07.19,28.6984
(C) Gorilla Glue,28.68486797
BMW BB,28.68
GOG_3_16-11-08,28.6437
(SF) Fire Fly,28.64111
CACT_T22_16.03.10,28.63513333
MK Ultra 00022,28.625346
Bubble Dawg,28.61649182
White 99,28.59438176
SGRA_T01_16.09.09,28.59155
Kosher Kush (Cali),28.59
Platinum Cookie,28.5763
LCON_T02_16.03.03,28.5731
B2C x DUT #12,28.5493
GGLU_T27_16.06.09,28.5231
El Jefe,28.5223
Alien Girlscout Cookies,28.51775
durban poison super silver haze,28.50583
Walker Sours A,28.5025
WD_6_16-12-26,28.4886
Chem 4 x Cookie #3,28.4854
Diamond OG,28.48245
MBG's Chem Valley Kush #1,28.4624
MK Ultra 00021,28.45865
Gorilla Glue #1,28.4433
Amnesia Haze 00016,28.436725
PSC_8_17-03-10,28.4132
Pineapple Chunk 00007,28.41154
Martian Mean Green 3,28.4078
Liberty Haze 00023,28.397075
Panama C99,28.39155
WD_8_17-03-10,28.3886
PINEPPLE EXPRESS,28.36
FLOG_8_16-11-23,28.3239
CPIE_T9_16.04.28,28.29315
Bg Alien Kush,28.287
BFIR_T28_16.02.05,28.27416667
Casey Quantum P1,28.2731
OREG_T11_16.07.25,28.2501
MBG's 818 Headband #1,28.2485
MK Ultra 00013,28.24596
BFIR_T11_16.07.25,28.2394
Pineapple Chunk 2 00012,28.2394
Creeper OG,28.23566
Chocolate Lemonade Chemdawg,28.2116
Epoxy OG 1,28.2075
DOUB_T20_16.03.14,28.20233333
DOUB_T14_16.06.17,28.2001
Liberty Haze 00019,28.174925
OSH_T7_17.03.02,28.16345
Willy&#39;s Wonder,28.14493333
CACT_T10_16.08.30,28.1437
Kosher Kush 00003,28.0949
PANP_T28_16.11.24,28.09063333
Sonic Silver Haze,28.08904
Bruce Banner 1.0,28.08183333
OG Ghost Train Haze #8,28.0731
Dosidos #4,28.03085
LCON_T17_16.06.03,28.02746667
Amnesia Haze 00010,28.02665
Rio Negro,28.0223
Kosher Glue 3,28.0124
DreadBread,28.01204
Tangerine Cush,28.00668
Pina,27.98893
Crumble Cookies,27.9747
The Itis,27.8977
Malawi,27.88985643
Pre 91' Chem Dawg,27.889635
GG4_T27,27.887